"profile,bj_profile,color"
"HEA100,BJ 8-10,rød"
"HEA120,BJ 8-10,rød"
"HEA140,BJ 8-10,rød"
"HEA160,BJ 8-10,rød"
"HEA180,BJ 8-10,rød"
"HEA200,BJ 8-10,rød"
"HEB100,BJ 8-10,rød"
"IPE180,BJ 8-10,rød"
"IPE200,BJ 8-10,rød"
"IPE220,BJ 8-10,rød"
"IPE240,BJ 8-10,rød"
""
"HEA200,BJ 10-12,gul"
"HEA220,BJ 10-12,gul"
"HEA240,BJ 10-12,gul"
"HEB120,BJ 10-12,gul"
"HEB140,BJ 10-12,gul"
"IPE270,BJ 10-12,gul"
"IPE300,BJ 10-12,gul"
"IPE330,BJ 10-12,gul"
""
"HEA240,BJ 12-14,grøn"
"HEA260,BJ 12-14,grøn"
"HEA280,BJ 12-14,grøn"
"HEA300,BJ 12-14,grøn"
"HEB160,BJ 12-14,grøn"
"HEB180,BJ 12-14,grøn"
"IPE360,BJ 12-14,grøn"
"IPE400,BJ 12-14,grøn"
""
"HEA300,BJ 14-16,brun"
"HEA320,BJ 14-16,brun"
"HEB200,BJ 14-16,brun"
"HEB220,BJ 14-16,brun"
"IPE450,BJ 14-16,brun"
"IPE500,BJ 14-16,brun"
""
"HEA340,BJ 16-18,blå"
"HEA360,BJ 16-18,blå"
"HEB240,BJ 16-18,blå"
"HEB260,BJ 16-18,blå"
"HEB280,BJ 16-18,blå"
"IPE550,BJ 16-18,blå"
""
"HEA400,BJ 18-20,hvid"
"HEB300,BJ 18-20,hvid"
"IPE600,BJ 18-20,hvid"
"HEM100,BJ 18-20,hvid"
""
"HEA450,BJ 20-22,sort"
"HEB320,BJ 20-22,sort"
"HEB340,BJ 20-22,sort"
"HEM100,BJ 20-22,sort"
"HEM120,BJ 20-22,sort"
"HEM140,BJ 20-22,sort"
""
"HEA500,BJ 22-24,orange"
"HEA550,BJ 22-24,orange"
"HEB360,BJ 22-24,orange"
"HEB400,BJ 22-24,orange"
"HEM140,BJ 22-24,orange"
"HEM160,BJ 22-24,orange"
"HEM180,BJ 22-24,orange"
