profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
HEB100;Klammeløsning;1;120;H-profiler;0,2300;;2;16;16
HEB100;Klammeløsning;2;77;H-profiler;0,2450;;2;16;8
HEB100;Klammeløsning;3;116;H-profiler;0,3450;;2;16;16
HEB100;Klammeløsning;4;154;H-profiler;0,4900;;0;0;32
HEB100;Bjælkeprofil eller PDP profil;1;170;H-profiler;0,3300;2;2;48;
HEB100;Bjælkeprofil eller PDP profil;2;89;H-profiler;0,2950;1;2;32;
HEB100;Bjælkeprofil eller PDP profil;3;139;H-profiler;0,4450;2;2;48;
HEB100;Bjælkeprofil eller PDP profil;4;200;H-profiler;0,6900;4;0;64;
HEB120;Klammeløsning;1;108;H-profiler;0,2520;;2;16;16
HEB120;Klammeløsning;2;71;H-profiler;0,2850;;2;16;8
HEB120;Klammeløsning;3;106;H-profiler;0,4050;;2;16;16
HEB120;Klammeløsning;4;142;H-profiler;0,5700;;0;0;32
HEB120;Bjælkeprofil eller PDP profil;1;146;H-profiler;0,3520;2;2;48;
HEB120;Bjælkeprofil eller PDP profil;2;80;H-profiler;0,3350;1;2;32;
HEB120;Bjælkeprofil eller PDP profil;3;124;H-profiler;0,5050;2;2;48;
HEB120;Bjælkeprofil eller PDP profil;4;177;H-profiler;0,7700;4;0;64;
HEB140;Klammeløsning;1;98;H-profiler;0,2740;;2;16;16
HEB140;Klammeløsning;2;66;H-profiler;0,3250;;2;16;8
HEB140;Klammeløsning;3;98;H-profiler;0,4650;;2;16;16
HEB140;Klammeløsning;4;131;H-profiler;0,6500;;0;0;32
HEB140;Bjælkeprofil eller PDP profil;1;128;H-profiler;0,3740;2;2;48;
HEB140;Bjælkeprofil eller PDP profil;2;73;H-profiler;0,3750;1;2;32;
HEB140;Bjælkeprofil eller PDP profil;3;112;H-profiler;0,5650;2;2;48;
HEB140;Bjælkeprofil eller PDP profil;4;159;H-profiler;0,8500;4;0;64;
HEB160;Klammeløsning;1;90;H-profiler;0,2960;;2;16;16
HEB160;Klammeløsning;2;59;H-profiler;0,3650;;2;16;8
HEB160;Klammeløsning;3;89;H-profiler;0,5250;;2;16;16
HEB160;Klammeløsning;4;118;H-profiler;0,7300;;0;0;32
HEB160;Bjælkeprofil eller PDP profil;1;114;H-profiler;0,3960;2;2;48;
HEB160;Bjælkeprofil eller PDP profil;2;65;H-profiler;0,4150;1;2;32;
HEB160;Bjælkeprofil eller PDP profil;3;100;H-profiler;0,6250;2;2;48;
HEB160;Bjælkeprofil eller PDP profil;4;140;H-profiler;0,9300;4;0;64;
HEB180;Klammeløsning;1;83;H-profiler;0,3180;;2;16;16
HEB180;Klammeløsning;2;56;H-profiler;0,4050;;2;16;8
HEB180;Klammeløsning;3;83;H-profiler;0,5850;;2;16;16
HEB180;Klammeløsning;4;111;H-profiler;0,8100;;0;0;32
HEB180;Bjælkeprofil eller PDP profil;1;103;H-profiler;0,4180;2;2;48;
HEB180;Bjælkeprofil eller PDP profil;2;60;H-profiler;0,4550;1;2;32;
HEB180;Bjælkeprofil eller PDP profil;3;92;H-profiler;0,6850;2;2;48;
HEB180;Bjælkeprofil eller PDP profil;4;129;H-profiler;1,0100;4;0;64;
HEB200;Klammeløsning;1;77;H-profiler;0,3400;;2;16;16
HEB200;Klammeløsning;2;52;H-profiler;0,4450;;2;16;8
HEB200;Klammeløsning;3;77;H-profiler;0,6450;;2;16;16
HEB200;Klammeløsning;4;103;H-profiler;0,8900;;0;0;32
HEB200;Bjælkeprofil eller PDP profil;1;94;H-profiler;0,4400;2;2;48;
HEB200;Bjælkeprofil eller PDP profil;2;56;H-profiler;0,4950;1;2;32;
HEB200;Bjælkeprofil eller PDP profil;3;85;H-profiler;0,7450;2;2;48;
HEB200;Bjælkeprofil eller PDP profil;4;118;H-profiler;1,0900;4;0;64;
HEB220;Klammeløsning;1;72;H-profiler;0,3620;;2;16;16
HEB220;Klammeløsning;2;49;H-profiler;0,4850;;2;16;8
HEB220;Klammeløsning;3;73;H-profiler;0,7050;;2;16;16
HEB220;Klammeløsning;4;97;H-profiler;0,9700;;0;0;32
HEB220;Bjælkeprofil eller PDP profil;1;86;H-profiler;0,4620;2;2;48;
HEB220;Bjælkeprofil eller PDP profil;2;52;H-profiler;0,5350;1;2;32;
HEB220;Bjælkeprofil eller PDP profil;3;80;H-profiler;0,8050;2;2;48;
