"profile";"bj";"color";"phl"
"HEA100";"BJ8-10";"rød";"PHL"
"HEA120";"BJ8-10";"rød";"PHL"
"HEA140";"BJ8-10";"rød";"PHL"
"HEA160";"BJ8-10";"rød";"PHL"
"HEA180";"BJ8-10";"rød";"PHL"
"HEA200";"BJ8-10";"rød";"PHL"
"HEB100";"BJ8-10";"rød";"PHL"
"IPE180";"BJ8-10";"rød";"PHL"
"IPE200";"BJ8-10";"rød";"PHL"
"IPE220";"BJ8-10";"rød";"PHL"
"IPE240";"BJ8-10";"rød";"PHL"
"";"";"";""
"HEA200";"BJ 10-12";"gul";"PHL"
"HEA220";"BJ 10-12";"gul";"PHL"
"HEA240";"BJ 10-12";"gul";"PHL"
"HEB120";"BJ 10-12";"gul";"PHL"
"HEB140";"BJ 10-12";"gul";"PHL"
"IPE270";"BJ 10-12";"gul";"PHL"
"IPE300";"BJ 10-12";"gul";"PHL"
"IPE330";"BJ 10-12";"gul";"PHL"
"";"";"";""
"HEA240";"BJ12-14";"grøn";"PHL"
"HEA260";"BJ12-14";"grøn";"PHL"
"HEA280";"BJ12-14";"grøn";"PHL"
"HEA300";"BJ12-14";"grøn";"PHL"
"HEB160";"BJ12-14";"grøn";"PHL"
"HEB180";"BJ12-14";"grøn";"PHL"
"IPE360";"BJ12-14";"grøn";"PHL"
"IPE400";"BJ12-14";"grøn";"PHL"
"";"";"";""
"HEA300";"BJ14-16";"brun";"PHL"
"HEA320";"BJ14-16";"brun";"PHL"
"HEB200";"BJ14-16";"brun";"PHL"
"HEB220";"BJ14-16";"brun";"PHL"
"IPE450";"BJ14-16";"brun";"PHL"
"IPE500";"BJ14-16";"brun";"PHL"
"";"";"";""
"HEA340";"BJ16-18";"blå";"PHL"
"HEA360";"BJ16-18";"blå";"PHL"
"HEB240";"BJ16-18";"blå";"PHL"
"HEB260";"BJ16-18";"blå";"PHL"
"HEB280";"BJ16-18";"blå";"PHL"
"IPE550";"BJ16-18";"blå";"PHL"
"";"";"";""
"HEA400";"BJ18-20";"hvid";"PHL"
"HEB300";"BJ18-20";"hvid";"PHL"
"IPE600";"BJ18-20";"hvid";"PHL"
"HEM100";"BJ18-20";"hvid";"PHL"
"";"";"";""
"HEA450";"BJ20-22";"sort";"PHL"
"HEB320";"BJ20-22";"sort";"PHL"
"HEB340";"BJ20-22";"sort";"PHL"
"HEM100";"BJ20-22";"sort";"PHL"
"HEM120";"BJ20-22";"sort";"PHL"
"HEM140";"BJ20-22";"sort";"PHL"
"";"";"";""
"HEA500";"BJ22-24";"orange";"PHL"
"HEA550";"BJ22-24";"orange";"PHL"
"HEB360";"BJ22-24";"orange";"PHL"
"HEB400";"BJ22-24";"orange";"PHL"
"HEM140";"BJ22-24";"orange";"PHL"
"HEM160";"BJ22-24";"orange";"PHL"
"HEM180";"BJ22-24";"orange";"PHL"
"";"";"";""
"HEA600";"";"";"PHL"
"HEA650";"";"";"PHL"
"HEA700";"";"";"PHL"
"HEA800";"";"";"PHL"
"HEA900";"";"";"PHL"
"HEA1000";"";"";"PHL"
"HEB450";"";"";"PHL"
"HEB500";"";"";"PHL"
"HEB550";"";"";"PHL"
"HEB600";"";"";"PHL"
"HEB650";"";"";"PHL"
"HEB700";"";"";"PHL"
"HEB800";"";"";"PHL"
"HEB900";"";"";"PHL"
"HEB1000";"";"";"PHL"
"HEM200";"";"";"PHL"
"HEM220";"";"";"PHL"
"HEM240";"";"";"PHL"
"HEM260";"";"";"PHL"
"HEM280";"";"";"PHL"
"HEM300";"";"";"PHL"
"HEM320";"";"";"PHL"
"HEM340";"";"";"PHL"
"HEM360";"";"";"PHL"
"HEM400";"";"";"PHL"
"HEM450";"";"";"PHL"
"HEM500";"";"";"PHL"
"HEM550";"";"";"PHL"
"HEM600";"";"";"PHL"
"HEM650";"";"";"PHL"
"HEM700";"";"";"PHL"
"HEM800 ";"";"";"PHL"
"IPE80";"";"";"PHL"
"IPE100";"";"";"PHL"
"IPE120";"";"";"PHL"
"IPE140";"";"";"PHL"
"IPE160";"";"";"PHL"
"INP80";"";"";"PHL"
"INP100";"";"";"PHL"
"INP120";"";"";"PHL"
"INP140";"";"";"PHL"
"INP160";"";"";"PHL"
"INP180";"";"";"PHL"
"INP200";"";"";"PHL"
"INP220";"";"";"PHL"
"INP240";"";"";"PHL"
"INP260";"";"";"PHL"
"INP280";"";"";"PHL"
"INP300";"";"";"PHL"
"INP320";"";"";"PHL"
"INP340";"";"";"PHL"
"INP360";"";"";"PHL"
"INP380";"";"";"PHL"
"INP400";"";"";"PHL"
"INP425";"";"";"PHL"
"INP450";"";"";"PHL"
"INP475";"";"";"PHL"
"INP500";"";"";"PHL"
"INP525";"";"";"PHL"
"INP550";"";"";"PHL"
"INP600";"";"";"PHL"
"UNP30";"";"";"PHL"
"UNP40x20";"";"";"PHL"
"UNP40";"";"";"PHL"
"UNP50x25";"";"";"PHL"
"UNP50";"";"";"PHL"
"UNP60";"";"";"PHL"
"UNP65";"";"";"PHL"
"UNP80";"";"";"PHL"
"UNP100";"";"";"PHL"
"UNP120";"";"";"PHL"
"UNP140";"";"";"PHL"
"UNP160";"";"";"PHL"
"UNP180";"";"";"PHL"
"UNP200";"";"";"PHL"
"UNP220";"";"";"PHL"
