ART.NR.;DB_NR.;PRODUCENT;BESKRIVELSE_DK;BESKRIVELSE_EN;CO2;CO2_TYPE;EPD_URL;DATABLAD_URL
2906;5959671;Knauf A/S;15 mm Fireboard 1250x2000;15FIREBOARD1250X2000;3,099;AREA;https://knauf.com/api/download-center/v1/assets/bd284248-a4d0-4a2b-b9a1-bba44b114bbb?download=true;https://knauf.com/api/download-center/v1/assets/7f66875b-c69a-44ca-8cc5-d5b081df8b85?download=true
2907;5959673;Knauf A/S;25 mm Fireboard 1250x2000;25FIREBOARD1250X2000;5,165;AREA;https://knauf.com/api/download-center/v1/assets/bd284248-a4d0-4a2b-b9a1-bba44b114bbb?download=true;https://knauf.com/api/download-center/v1/assets/7f66875b-c69a-44ca-8cc5-d5b081df8b85?download=true
2908;5959672;Knauf A/S;20 mm Fireboard 1250x2000;20 mm Fireboard 1250x2000;4,132;AREA;https://knauf.com/api/download-center/v1/assets/bd284248-a4d0-4a2b-b9a1-bba44b114bbb?download=true;https://knauf.com/api/download-center/v1/assets/7f66875b-c69a-44ca-8cc5-d5b081df8b85?download=true
2909;2262048;Knauf A/S;30 mm Fireboard 1250x2000;30FIREBOARD1250X2000;6,198;AREA;https://knauf.com/api/download-center/v1/assets/bd284248-a4d0-4a2b-b9a1-bba44b114bbb?download=true;https://knauf.com/api/download-center/v1/assets/7f66875b-c69a-44ca-8cc5-d5b081df8b85?download=true
3331;4378543;Knauf A/S;Vinkelprofil 30/30 4000 mm;VINKELPROFIL;1,057339468;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/4bbc27b2-8420-4c59-a2ec-919bd613e39c?download=true
177471;1491358;Knauf A/S;Bjælkeprofil BJ 8-10 rød 2000 mm;BJÆLKEPROFILX20000,58-10;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
177473;1491367;Knauf A/S;Bjælkeprofil BJ 10-12 gul 2000 mm;BJÆLKEPROFILX20000,510-12GUL;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
177474;1491369;Knauf A/S;Bjælkeprofil BJ 12-14 grøn 2000 mm;BJÆLKEPROFILX20000,512-14GRØN;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
177475;1491370;Knauf A/S;Bjælkeprofil BJ 14-16 brun 2000 mm;BJÆLKEPROFILX20000,514-16BRUN;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
238047;1491371;Knauf A/S;Bjælkeprofil BJ 16-18 blå 2000 mm;BJÆLKEPROFILX20000,516-18BLÅ;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
238048;1491372;Knauf A/S;Bjælkeprofil BJ 18-20 hvid 2000 mm;BJÆLKEPROFILX20000,518-20HVID;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
238049;1491373;Knauf A/S;Bjælkeprofil BJ 20-22 sort 2000 mm;BJÆLKEPROFILX20000,520-22SORT;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
238050;1491374;Knauf A/S;Bjælkeprofil BJ 22-24 orange 2000 mm;BJÆLKEPROFILX20000,522-24ORANGE;1,252112528;LENGTH;https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e4d32a41-ad4e-48bd-8ad9-56f50f495503&version=20.23.050;https://knauf.com/api/download-center/v1/assets/c8211f97-9df6-4079-b526-1b6f4dc6d18a?download=true
836285;1319016;Knauf A/S;PHL profil 25 3000 mm;PHL profile 25 3000 mm;1,0280856;LENGTH;https://knauf.com/api/download-center/v1/assets/29267250-f07b-4f5f-b262-a48e4f7a22c2?download=true;https://knauf.com/api/download-center/v1/assets/c8f48f99-9857-4516-8c99-d86faff21fe9?download=true
181533;8156069;Knauf A/S;Skrue RAB25 1000 stk.;Screw RAB25 1000 pcs;;IGNORE;;https://knauf.com/api/download-center/v1/assets/256cf991-b530-432f-b5b8-b60766af3334?download=true
181534;8156077;Knauf A/S;Skrue RAB35 1000 stk.;Screw RAB35 1000 pcs;;IGNORE;;https://knauf.com/api/download-center/v1/assets/256cf991-b530-432f-b5b8-b60766af3334?download=true
181343;2831659;Knauf A/S;Skrue RA51 500 stk.;Screw RA51 500 pcs;;IGNORE;;https://knauf.com/api/download-center/v1/assets/256cf991-b530-432f-b5b8-b60766af3334?download=true
1654;2831667;Knauf A/S;Skrue RA70 250 stk.;SKRUERA70;;IGNORE;;https://knauf.com/api/download-center/v1/assets/256cf991-b530-432f-b5b8-b60766af3334?download=true
603402;1964917;Knauf A/S;Fireboard spartelmasse 10 kg;FIREBOARDSPARTELMASSE;0,422798673;AREA;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4906fae7-6013-4d08-a765-642314c0bfd2?version=20.23.050;https://knauf.com/api/download-center/v1/assets/4e2f75ae-c647-4aa3-bea2-015b472696ed?download=true
3698;4378337;Knauf A/S;Fugestrimler glasfiber 50 mm 25 m;FUGESTRIMLER;;IGNORE;;
90000004;;Fremmed materiale;Stålklamme (Min. 40 x 8,5 x 1 mm);Steel clamp (Min. 40 x 8,5 x 1 mm);;IGNORE;;
